# radius,v_c,pos_err,neg_err,source
8.1,218,6,6,Bovy et al. (2012)
8.3,239.2,4.8,4.8,McMillan (2011)
8.4,229,18,18,Koposov et al. (2010)
19,217,22,19,Kuepper et al. (2015)
50,215.49942,3.954447637,62.70913491,Wilkinson & Evans (1999)
50,213.4947306,2.004689339,7.909876384,Sakamoto et al. (2003)
50,185.4723699,23.95542194,17.70243168,Smith et al. (2007)
50,190.0526243,8.844333956,8.844333956,Deason et al. (2012)
60,169.3123347,14.21786268,14.21786268,Xue et al. (2008)
80,192.5811517,38.09719576,16.07526442,Gnedin et al. (2010)
100,132.7780102,6.326267205,6.326267205,Gibbons et al. (2014)
100,245.3568829,69.12682094,89.00818702,Watkins et al. (2010)
120,139.1042774,23.73511174,16.99398222,Battaglia et al. (2005)
200,120.913192,32.17175174,32.17175174,Bhattacherjee et al. (2014)
